ts,reconstruction_error,anomaly
2023-03-09 23:56:16,0.42895296,0
2023-03-09 23:56:17,0.46467468,0
2023-03-09 23:56:18,0.44188324,0
2023-03-09 23:56:19,0.4487265,0
2023-03-09 23:56:20,0.4498326,0
2023-03-09 23:56:21,0.48484275,0
2023-03-09 23:56:22,0.45693105,0
2023-03-09 23:56:23,0.47570765,0
2023-03-09 23:56:24,0.47779548,0
2023-03-09 23:56:25,0.50639224,0
2023-03-09 23:56:26,0.48622492,0
2023-03-09 23:56:27,0.50378966,0
2023-03-09 23:56:28,0.4988376,0
2023-03-09 23:56:29,0.4921563,0
2023-03-09 23:56:30,0.5257675,0
2023-03-09 23:56:31,0.55813664,0
2023-03-09 23:56:32,0.5528579,0
2023-03-09 23:56:33,0.5884849,0
2023-03-09 23:56:34,0.63936937,0
2023-03-09 23:56:35,0.620325,0
2023-03-09 23:56:36,0.6196149,0
2023-03-09 23:56:37,0.6479943,0
2023-03-09 23:56:38,0.59935546,0
2023-03-09 23:56:39,0.58826697,0
2023-03-09 23:56:40,0.58977884,0
2023-03-09 23:56:41,0.5618964,0
2023-03-09 23:56:42,0.5307764,0
2023-03-09 23:56:43,0.49879223,0
2023-03-09 23:56:44,0.5128452,0
2023-03-09 23:56:45,0.50080967,0
2023-03-09 23:56:46,0.5110295,0
2023-03-09 23:56:47,0.53260905,0
2023-03-09 23:56:48,0.55244744,0
2023-03-09 23:56:49,0.5385271,0
2023-03-09 23:56:50,0.5156804,0
2023-03-09 23:56:51,0.50227416,0
2023-03-09 23:56:52,0.5270401,0
2023-03-09 23:56:53,0.52271754,0
2023-03-09 23:56:54,0.5374575,0
2023-03-09 23:56:55,0.534655,0
2023-03-09 23:56:56,0.5249439,0
2023-03-09 23:56:57,0.4990913,0
2023-03-09 23:56:58,0.48262888,0
2023-03-09 23:56:59,0.4883675,0
2023-03-09 23:57:00,0.47931692,0
2023-03-09 23:57:01,0.48212865,0
2023-03-09 23:57:02,0.48651677,0
2023-03-09 23:57:03,0.49993974,0
2023-03-09 23:57:04,0.50221825,0
2023-03-09 23:57:05,0.502696,0
2023-03-09 23:57:06,0.5077048,0
2023-03-09 23:57:07,0.5096932,0
2023-03-09 23:57:08,0.51883274,0
2023-03-09 23:57:09,0.50443804,0
2023-03-09 23:57:10,0.5455069,0
2023-03-09 23:57:11,0.5753159,0
2023-03-09 23:57:12,0.5659802,0
2023-03-09 23:57:13,0.59318864,0
2023-03-09 23:57:14,0.64679426,0
2023-03-09 23:57:15,0.6603061,0
2023-03-09 23:57:16,0.70854795,0
2023-03-09 23:57:17,0.6570174,0
2023-03-09 23:57:18,0.70904136,0
2023-03-09 23:57:19,0.73618954,0
2023-03-09 23:57:20,0.57466877,0
2023-03-09 23:57:21,0.5816916,0
2023-03-09 23:57:22,0.60686487,0
2023-03-09 23:57:23,0.60503924,0
2023-03-09 23:57:24,0.5761211,0
2023-03-09 23:57:25,0.5644138,0
2023-03-09 23:57:26,0.5633615,0
2023-03-09 23:57:27,0.5596687,0
2023-03-09 23:57:28,0.54756075,0
2023-03-09 23:57:29,0.56867707,0
